RATING,DIRECTOR,MOVIE
8.5, Bela Tarr,Werckmeister Harmoniak/ Werckmeister Harmonies
8.2, Sion Sono,Love Exposure
8.0, Majid Majidi,Rang-e Khoda/ Color Of Paradise
8.0, Christopher Nolan,Memento
8.0, Zhang Yimou,Ying Xiong/ Hero
8.0, Chan-wook Park,Sympathy for Mr Vengeance
8.0, Michael Haneke,Cache`/ Hidden
8.0, Kim Ki-duk,Shigan/ Time
7.9, Kevin Smith,Dogma
7.9, Chan-wook Park,Oldeuboi/ Oldboy
7.9, Pedro Almodovar,Mala Education/ Bad Education
7.8, Hirokazu Kore-eda,Afterlife (1998)
7.8, Spike Jonze,Being John Malkovich
7.8,  Chang-dong Lee,Bakha Satang/ Peppermint Candy (1999)
7.8, Gyorgy Palfi,Hukkle
7.8, Alejandro Gonzales Inarritu,21 Grams
7.8, Michel Gondry,Eternal Sunshine of the Spotless Mind
7.8, Majid Majidi,Beed-e Majnoon/ The Willow Tree
7.8, Johnnie To,Fong Juk/ Exiled
7.8, Gaspar Noe,Soudain Le Vide/ Enter the Void
7.8, Sergei Loznitsa,Schastye Moe/ My Joy
7.8, Alejandro Jodorowsky,The Dance of Reality
7.8, Pedro Costa,Horse Money
7.8, Alice Rohrwacher,Lazzaro Felice/ Happy as Lazzaro
7.8, Ilya Khrzhanovsky,Degeneratsia/ Degeneration
7.7, Shohei Imamura,Dr Akagi (1998)
7.7, Pedro Almodovar,Todo Sobre Mi Madre/ All About My Mother
7.7, Christian Petzold,Die Innere Sicherheit/ The State I Am In (Germany)
7.7, David Lynch,Mulholland Drive
7.7, Satoshi Kon,Sennen Joyu/ Millennium Actress
7.7, Fatih Akin,Gegen die Wand/ Head On
7.7, Theo Angelopoulos,The Weeping Meadow
7.7, Carlos Reygadas,Post Tenebras Lux
7.7, Miguel Gomes,Arabian Nights
7.7, Hu Bo,An Elephant Sitting Still
7.6, Arturo Ripstein,La Perdicion de los Hombres/ The Ruination of Men
7.6, Edward Yang,Yi Yi/ A One And a Two
7.6, Sion Sono,Jisatsu Sakuru/ Suicide Club
7.6, Pedro Costa,Colossal Youth
7.6, Johnnie To,Mad Detective
7.6, Leos Carax,Holy Motors
7.6, Aleksei German,Trudno byt' Bogom/ Hard to Be a God (2013)
7.6, Ama Lily Amirpour,Dokhtari dar sab Tanha be Xane Miravad/ A Girl Walks Home Alone at Night
7.6, Joachim Trier,Thelma
7.6, Anders Thomas Jensen,Retfaerdighedens Ryttere/ Riders of Justice
7.5, Emir Kusturica,Black Cat White Cat (1998)
7.5, Theo Angelopoulos,Eternity And A Day (1998)
7.5, Christopher Nolan,Following
7.5, Takeshi Miike,Deddo oa Araibu/ Dead or Alive
7.5, Alejandro Gonzales Inarritu,Amores Perros
7.5, Juan Carlos Fresnadillo,Intacto
7.5, Tsai Ming-Liang,What Time Is It There?
7.5, Nuri Bilge Ceylan,Uzak/ Distant
7.5, Kim Ki-duk,Bom yeoreum gaeul gyeoul geurigo bom/ Spring Summer Fall Winter and Spring
7.5, Raoul Ruiz,Ce Jour-La'/ That Day
7.5, Matthew Ryan Hoge,The United States of Leland
7.5, Sion Sono,Noriko no Shokutaku/ Noriko's Dinner Table
7.5, Jia Zhang-Ke,Sanxia Haoren/ Still Life
7.5, Satoshi Kon,Paprika
7.5, Christian Petzold,Yella
7.5, Joon-ho Bong,Mother
7.5, Chang-dong Lee,Poetry
7.5, Terrence Malick,The Tree of Life
7.5, Bela Tarr,The Turin Horse
7.5, Christian Petzold,Barbara
7.5, Paolo Sorrentino,La Grande Bellezza/ The Great Beauty
7.5, Eskil Vogt,Blind
7.5, Nuri Bilge Ceylan,Winter Sleep
7.5, Jafar Panahi,Taxi
7.5, Maren Ade,Toni Erdmann
7.5, Arnaud Desplechin,Les Fantomes d'Ismael/ Ismael's Ghosts
7.5, Michael Haneke,Happy End
7.5, Zhangke Jia,Jiang hu er nv/ Ash is Purest White
7.5, Bi Gan,Long Day's Journey Into Night
7.5, Ryusuke Hamaguchi,Drive my Car
7.4, Guy Ritchie,Lock Stock And Two Smoking Barrels  (1998)
7.4,  Tsai Ming-Liang,Dong/ The Hole (1998)
7.4, Sam Mendes,American Beauty
7.4, Kiyoshi Kurosawa,Charisma (1999)
7.4, Mike Figgis,Time Code
7.4, Zhangke Jia,Zhantai/ Platform
7.4, Fatih Akin,In July
7.4, Wong Kar-wai,In the Mood For Love
7.4, Wen Jiang,Guizi Laile/ Devils on the Doorstep (2000)
7.4, Lav Diaz,Batang West Side (2001)
7.4, Jean-Pierre Jeunet,Amelie
7.4, Aki Kaurismaki,The Man Without a Past
7.4, Pedro Almodovar,Talk To Her
7.4, Fernando Meirelles,City of God
7.4, Ken Loach,Sweet Sixteen
7.4, Henrik Ruben Genz,En som Hodder/ Someone Like Hodder
7.4, Takashi Miike,Gozu  (2003)
7.4, Christian Petzold,Wolfsburg
7.4, Kim Ki-duk,Binjip/ 3-Iron
7.4, Cristi Puiu,Moartea Domnului Lazarescu/ The Death of Mr Lazarescu
7.4, Florian Henckel von Donnersmarck,Das Leben der Anderen/ The Lives of Others
7.4, Mahamat-Saleh Haroun,Daratt/ Dry Season
7.4, Richard Kelly,Southland Tales
7.4, Carlos Reygadas,Luz Silenciosa/ Silent Light
7.4, Chang-dong Lee,Secret Sunshine
7.4, Nacho Vigalondo,Timecrimes
7.4, Lucrecia Martel,La Mujer Sin Cabeza/ Headless Woman
7.4, Asghar Farhadi,Darbareye Elly/ About Elly
7.4, Quentin Tarantino,Inglorious Basterds
7.4, Apichatpong Weerasethakul,Uncle Boonmee Who Can Recall His Past Lives
7.4, Asghar Farhadi,Separation
7.4, Nuri Bilge Ceylan,Once Upon a Time in Anatolia
7.4, Lars Von Trier,Melancholia
7.4, Johnnie To,Drug War
7.4, Thomas Vinterberg,Jagten/ The Hunt (2012)
7.4, Lav Diaz,Norte Hangganan ng Kasaysayan/ Norte the End of History
7.4, Bruno Dumont,Li'l Quinquin
7.4, Ramin Bahrani,99 Homes
7.4, Myroslav Slaboshpytskiy,Plemya/ The Tribe
7.4, Christian Petzold,Phoenix
7.4,  Deniz Gamze Erguven,Mustang
7.4, Yorgos Lanthimos,The Lobster
7.4, Laszlo Nemes,Saul Fia/ Son of Saul
7.4, Bi Gan,Lu Bian Ye Can/ Kaili Blues
7.4, Sang-ho Yeon,Train to Busan
7.4, Lav Diaz,Ang Babaeng Humayo/ The Woman Who Left
7.4, Andrei Konchalovsky,Paradise
7.4, Jordan Peele,Get Out
7.4,  Craig Zahler,Brawl in Cell Block 99
7.4, Edgar Wright,Baby Driver
7.4, Chang-dong Lee,Beoning/ Burning
7.4, Patrick Wang,A Bread Factory
7.4, Yorgos Lanthimos,The Favourite
7.4, John Maringouin,Ghostbox Cowboy
7.4, Joon-ho Bong,Gisaengchung/ Parasite
7.4, Ilya Khrzhanovsky,DAU Natasha
7.4, Joachim Trier,The Worst Person in the World
7.4, Gaspar Noe,Vortex
7.3, Walter Salles,Central Station (1998)
7.3, Takeshi Miike,The Bird People in China (1998)
7.3, Peter Weir,Truman Show  (1998)
7.3, Veit Helmer,Tuvalu
7.3, Lynne Ramsay,Ratcatcher
7.3, Johnnie To,An Zhan/ Hidden War/ Running Out of Time
7.3, Claire Denis,Beau Travail  (1999)
7.3, Neil Labute,Nurse Betty
7.3, Wisit Sasanatieng,Fah Talai Jone/ Tears of the Black Tiger
7.3, Tsui Hark,Time and Tide
7.3, Hong Sang-soo,Oh Soojung/ Virgin Stripped Bare by Her Bachelors
7.3, Jan Hrebejk,Divided We Fall
7.3, Raul Ruiz,Comedie de l'innocence/ Comedy of Innocence
7.3, Jacques Audiard,Sur mes Levres/ Read My Lips  (2001)
7.3, Hayao Miyazaki,Sen to Chihiro no Kamikakushi/ Spirited Away
7.3, Alexander Sokurov,Russian Ark
7.3, Gaspar Noe,Irreversible
7.3, Lars Von Trier,Dogville
7.3, Claire Denis,The Intruder
7.3, Wong Kar-wai,2046
7.3, Zhangke Jia,The World
7.3, Lav Diaz,Ebolusyon ng Isang Pamilyang Pilipino/ Evolution of a Filipino Family
7.3, Jacques Audiard,De Battre Mon Cour S'Est Arrete'/ The Beat That My Heart Skipped
7.3, Shane Black,Kiss Kiss Bang Bang
7.3, Kim Ki-duk, The Bow
7.3, Daniel Sanchez Arevalo,Azul Oscuro Casi Negro (2006)
7.3, Joon-Ho Bong,Gwoemul/ The Host
7.3,  Paul Verhoeven,Zwartboek/ Black Book
7.3, Paolo Sorrentino,L'Amico di Famiglia
7.3, Chan-wook Park,Ssaibogeujiman Gwaenchana/ I'm a Cyborg but that's OK
7.3, Christopher Nolan,The Prestige
7.3, Aditya Assarat,Wonderful Town
7.3, Charlie Kaufman,Synecdoche New York
7.3, Ari Folman,Waltz with Bashir
7.3, Nuri Bilge Ceylan,Uc Maymum/ Three Monkeys
7.3, Tatia Rosenthal,$9.99
7.3, Corneliu Porumboiu,Police Adjective
7.3, Michael Haneke,Das Weisse Band/ The White Ribbon
7.3, Claire Denis,White Material
7.3, Raul Ruiz,Misterios de Lisboa/ Mysteries of Lisbon
7.3, Gerardo Naranjo,Miss Bala
7.3, Miguel Gomes,Tabu
7.3, Shane Carruth,Upstream Color
7.3, Jane Campion,Top of the Lake
7.3, Ramon Zuercher,Das merkwuerdige Kaetzchen/ The Strange Little Cat (2013)
7.3, Roy Andersson,A Pigeon Sat On a Branch Reflecting On Existence
7.3, Andrei Zvyagintsev,Leviathan
7.3, Lav Diaz,Mula sa Kung Ano ang Noon/ From What Is Before
7.3, Radu Jude,Aferim
7.3, Jim Jarmusch,Paterson
7.3, Hirokazu Kore-eda,After the Storm
7.3, Blake Williams,Prototype
7.3, Joon-ho Bong,Okja
7.3, Christian Petzold,Transit
7.3, Pawel Pawlikowski,Zimna Wojna/ Cold War
7.3, Jacques Audiard,The Sisters Brothers
7.3, Alfonso Cuaron,Roma
7.3, Matteo Garrone,Dogman
7.3, Nadine Labaki,Capernaum
7.3, Lila Aviles, La Camarista/ The Chambermaid
7.3, Mariano Llinas,La Flor
7.3, Nuri Bilge Ceylan,Ahlat Agaci/ The Wild Pear Tree (2018)
7.3, Celine Sciamma,Portrait de la Jeune Fille en Feu/ Portrait of a Lady on Fire
7.3, Mati Diop,Atlantique
7.3, Kirill Mikhanovsky,Give Me Liberty
7.3, Kantemir Balagov,Dilda/ Beanpole
7.3, Benny & Josh Safdie,Uncut Gems
7.3, Chloe Zhao,Nomadland
7.3, Lee Isaac Chung,Minari
7.3, Andreas Fontana,Azor
7.3, Jane Campion,The Power of the Dog
7.3, Gonzalo Calzada,Nocturna
7.2, Hsiao-Hsien Hou,Haishang Hua/ Flowers of Shangai
7.2, Joel Coen,Big Lebowski  (1998)
7.2, Manoel DeOliveira,Inquietude/ Anxiety (1998)
7.2, Goran Paskaljevic,Cabaret Balkan
7.2, Bruno Dumont,La Vie de Jesus / The Life of Jesus (1997)
7.2, Tony Scott,Enemy of the State (1998)
7.2, Thomas Vinterberg,Festen/ The Celebration (1998)
7.2, David Fincher,Fight Club
7.2, Lee Myung-Se,Nowhere To Hide
7.2, Abbas Kiarostami,The Wind Will Carry Us
7.2, Yimou Zhang,Not One Less
7.2, Harmony Korine,Julien Donkey Boy
7.2, Steven Soderbergh,The Limey
7.2, Darren Aronofsky,Requiem For A Dream
7.2, Kenneth Lonergan,You Can Count On Me
7.2, Francois Ozon,Gouttes d'Eau Sur Pierres Brulantes/ Water Drops On Burning Rocks
7.2, Jafar Panahi,Dayereh/The Circle
7.2, Takashi Miike,Ichi the Killer
7.2, Cristi Puiu,Marfa si Banii/ Stuff and Dough
7.2, Mamoru Oshii,Avaron/ Avalon (2001)
7.2, Apichatpong Weerasethakul,Sud Sanaeha/ Blissfully Yours
7.2, Mahamet-Saleh Haroun,Abouna
7.2, Jonas Akerlund,Spun
7.2, Lee Simyung,2009 Lost Memories
7.2, Abderrahmane Sissako,Waiting for Happiness
7.2, Steven Spielberg,Minority Report
